name,id,nametype,recclass,mass (g),fall,year,reclat,reclong,GeoLocation
Northwest Africa 6819,53808,Valid,Diogenite-olivine,500,Found,01/01/2009 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 6820,53809,Valid,Ureilite,20.62,Found,01/01/2010 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 6849,53759,Valid,L5,4300,Found,01/01/2010 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 6850,53805,Valid,L4,560,Found,01/01/2009 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 6851,53760,Valid,LL6,207.7,Found,01/01/2003 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 6852,53762,Valid,LL6,1009,Found,01/01/2011 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 6860,53773,Valid,R5,80.5,Found,01/01/2011 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 6861,53774,Valid,CM2,10.3,Found,01/01/2011 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 6862,53775,Valid,CM2,39.4,Found,01/01/2011 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 6863,53776,Valid,CV3,76.7,Found,01/01/2011 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 6865,53778,Valid,LL6,64,Found,01/01/2011 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 6868,53781,Valid,LL6,747,Found,01/01/2011 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 6871,53784,Valid,Ureilite,119,Found,01/01/2011 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 6872,53826,Valid,L6-melt breccia,29,Found,01/01/2004 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 6874,53828,Valid,Brachinite,90,Found,01/01/2011 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 6875,53846,Valid,Lodranite,300,Found,01/01/2011 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 6887,53847,Valid,Eucrite,120,Found,01/01/2011 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 6888,54490,Valid,Lunar,208,Found,01/01/2011 12:00:00 AM,24.642830,-14.687830,"(24.64283, -14.68783)"
Northwest Africa 6901,53843,Valid,Achondrite-prim,1197,Found,01/01/2011 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 6902,53848,Valid,H5,73,Found,01/01/2007 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 6903,53891,Valid,"Iron, IIIAB",50000,Found,01/01/2008 12:00:00 AM,32.371670,-6.360000,"(32.37167, -6.36)"
Northwest Africa 6904,53849,Valid,LL6,115,Found,01/01/2011 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 6905,53850,Valid,EL6,113.6,Found,01/01/2008 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 6906,53851,Valid,EL6,140,Found,01/01/2008 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 6907,53852,Valid,LL5,240,Found,01/01/2006 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 6908,53853,Valid,CM2,52.68,Found,01/01/2010 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 6909,53854,Valid,Eucrite,188,Found,01/01/2009 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 6911,53856,Valid,Diogenite,13.58,Found,01/01/2011 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 6912,53857,Valid,Eucrite-pmict,27.55,Found,01/01/2011 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 6913,53858,Valid,Eucrite-pmict,35.96,Found,01/01/2011 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 6914,53859,Valid,Eucrite-pmict,40.22,Found,01/01/2011 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 6915,53860,Valid,Ureilite,89.6,Found,01/01/2011 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 6916,53861,Valid,Eucrite,520,Found,01/01/2011 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 6917,53862,Valid,Eucrite,488,Found,01/01/2011 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 6918,53863,Valid,Eucrite,153.6,Found,01/01/2010 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 6919,53864,Valid,Eucrite,95,Found,01/01/2011 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 6920,53865,Valid,Howardite,1468,Found,01/01/2011 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 6923,53868,Valid,Eucrite-pmict,562,Found,01/01/2011 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 6926,53871,Valid,Achondrite-ung,220,Found,01/01/2011 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 6927,53872,Valid,Diogenite,114,Found,01/01/2011 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 6928,53873,Valid,Diogenite-an,223,Found,01/01/2011 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 6929,53874,Valid,H4,165,Found,01/01/2011 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 6931,54506,Valid,"Iron, IAB-MG",20620,Found,01/01/2007 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 6932,54507,Valid,"Iron, ungrouped",32000,Found,01/01/2008 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 6946,54509,Valid,L6,71,Found,01/01/2010 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 6947,54510,Valid,H5,115777,Found,01/01/2011 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 6948,54511,Valid,L5-melt breccia,56,Found,01/01/2011 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 6949,54512,Valid,Winonaite,418,Found,01/01/2011 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 6950,54513,Valid,Lunar (gabbro),1649,Found,01/01/2011 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 6951,54514,Valid,L5,1481,Found,01/01/2010 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 6952,54515,Valid,L4,673,Found,01/01/2010 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 6953,54516,Valid,Mesosiderite,4160,Found,01/01/2011 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 6955,54518,Valid,LL6,280,Found,01/01/2011 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 6956,54519,Valid,L6,1350,Found,01/01/2011 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 892,31913,Valid,H5,54.6,Found,01/01/2001 12:00:00 AM,,,
Northwest Africa 6959,54522,Valid,R5,88.3,Found,01/01/2011 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 6961,54524,Valid,H4,5104,Found,01/01/2011 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 6962,54525,Valid,Achondrite-ung,59.8,Found,01/01/2011 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 6963,54565,Valid,Martian (shergottite),8000,Found,01/01/2011 12:00:00 AM,28.002467,-11.131583,"(28.002467, -11.131583)"
Northwest Africa 6989,54669,Valid,H7,118,Found,01/01/2011 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 6990,54667,Valid,LL7,395,Found,01/01/2011 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 6991,54567,Valid,CV3,487,Found,01/01/2010 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 6992,54670,Valid,CR2,237,Found,01/01/2011 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 6993,54568,Valid,L6,47.7,Found,01/01/2005 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 6994,54569,Valid,H4,20.54,Found,01/01/2005 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 6995,54668,Valid,LL4,17.43,Found,01/01/2005 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 6997,54572,Valid,L4-5,110.5,Found,01/01/2004 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 6998,54573,Valid,H4,85.34,Found,01/01/2004 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 7000,54575,Valid,L4,8880,Found,01/01/2002 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 7002,54578,Valid,LL6,53,Found,01/01/2011 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 7003,54579,Valid,LL4-5,38.200000000000003,Found,01/01/2011 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 7004,54580,Valid,H4,142,Found,01/01/2011 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 7007,54583,Valid,Lunar (gabbro),91,Found,01/01/2011 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 7008,54584,Valid,Brachinite,10.8,Found,01/01/2011 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 7009,54585,Valid,CV3,1007,Found,01/01/2011 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 7010,54586,Valid,L5,314,Found,01/01/2011 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 7011,54587,Valid,LL6,312,Found,01/01/2011 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 7012,54588,Valid,Eucrite-pmict,42.8,Found,01/01/2011 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 7013,54589,Valid,Eucrite-mmict,102,Found,01/01/2011 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 7014,54590,Valid,Eucrite-mmict,116,Found,01/01/2011 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 7015,54577,Valid,LL4,888,Found,01/01/2011 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 7016,54615,Valid,H6,571,Found,01/01/2011 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 7017,54616,Valid,L6,4669.5,Found,01/01/2011 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
Northwest Africa 7018,54651,Valid,H6,443,Found,01/01/2011 12:00:00 AM,0.000000,0.000000,"(0.0, 0.0)"
